2014-06-30 22:06:17,681 INFO           anuga.utilities.log:0   |Logfile is './anuga.log' with logging level of INFO, console logging level is CRITICAL
2014-06-30 22:06:17,989 CRITICAL            neighbour_mesh:90  |Mesh: Initialising
2014-06-30 22:06:17,989 CRITICAL            neighbour_mesh:160 |Mesh: Building neigbour structure
2014-06-30 22:06:17,989 CRITICAL            neighbour_mesh:164 |Mesh: Building surrogate neigbour structure
2014-06-30 22:06:17,989 CRITICAL            neighbour_mesh:168 |Mesh: Building boundary dictionary
2014-06-30 22:06:17,990 CRITICAL            neighbour_mesh:175 |Mesh: Building tagged elements dictionary
2014-06-30 22:06:17,990 CRITICAL            neighbour_mesh:193 |Mesh: Done
2014-06-30 22:06:17,990 INFO                neighbour_mesh:194 |#@# finishMesh, '2014-06-30 22:06:17'
2014-06-30 22:06:17,990 INFO                neighbour_mesh:195 |Resource usage: memory=813.6MB resident=76.3MB stacksize=0.1MB
2014-06-30 22:06:17,990 INFO                neighbour_mesh:195 |#@# sys_platform, linux2
2014-06-30 22:06:17,991 INFO                neighbour_mesh:195 |#@# finishMesh_memory, 813.55859375
2014-06-30 22:06:17,991 INFO                neighbour_mesh:195 |#@# finishMesh_resident, 76.3203125
2014-06-30 22:06:17,991 INFO                neighbour_mesh:195 |#@# finishMesh_stacksize, 0.13671875
2014-06-30 22:06:17,991 CRITICAL            generic_domain:109 |Domain: Expose mesh attributes
2014-06-30 22:06:17,991 CRITICAL            generic_domain:144 |Domain: Expose quantity names and types
2014-06-30 22:06:17,991 CRITICAL            generic_domain:170 |Domain: Build Quantities
2014-06-30 22:06:17,992 CRITICAL            generic_domain:213 |Domain: Set up communication buffers 
2014-06-30 22:06:17,992 CRITICAL            generic_domain:228 |Domain: Set up triangle/node full flags 
2014-06-30 22:06:17,992 CRITICAL            generic_domain:281 |Domain: Set defaults
2014-06-30 22:06:17,992 CRITICAL            generic_domain:336 |Domain: Set work arrays
2014-06-30 22:06:17,992 CRITICAL            generic_domain:352 |Domain: Initialising quantity values
2014-06-30 22:06:17,993 CRITICAL            generic_domain:355 |Domain: Done
2014-06-30 22:06:18,090 CRITICAL            generic_domain:76  |Domain: Initialising
2014-06-30 22:06:18,091 CRITICAL              pmesh2domain:93  |Pmesh_to_Domain: Initialising
2014-06-30 22:06:18,091 CRITICAL              pmesh2domain:103 |Pmesh_to_Domain: Done
2014-06-30 22:06:18,091 CRITICAL              general_mesh:85  |General_mesh: Building basic mesh structure
2014-06-30 22:06:18,092 INFO                  general_mesh:92  |#@# numTriangles, 7
2014-06-30 22:06:18,092 CRITICAL              general_mesh:147 |General_mesh: Computing areas, normals, edgelengths, centroids and radii
2014-06-30 22:06:18,093 CRITICAL              general_mesh:372 |General Mesh: Building inverted triangle structure
2014-06-30 22:06:18,093 INFO                  general_mesh:375 |#@# aoi, '2.73641018864'
2014-06-30 22:06:18,093 CRITICAL            neighbour_mesh:90  |Mesh: Initialising
2014-06-30 22:06:18,093 CRITICAL            neighbour_mesh:160 |Mesh: Building neigbour structure
2014-06-30 22:06:18,093 CRITICAL            neighbour_mesh:164 |Mesh: Building surrogate neigbour structure
2014-06-30 22:06:18,094 CRITICAL            neighbour_mesh:168 |Mesh: Building boundary dictionary
2014-06-30 22:06:18,094 CRITICAL            neighbour_mesh:175 |Mesh: Building tagged elements dictionary
2014-06-30 22:06:18,094 CRITICAL            neighbour_mesh:193 |Mesh: Done
2014-06-30 22:06:18,094 INFO                neighbour_mesh:194 |#@# finishMesh, '2014-06-30 22:06:18'
2014-06-30 22:06:18,095 INFO                neighbour_mesh:195 |Resource usage: memory=813.6MB resident=76.3MB stacksize=0.1MB
2014-06-30 22:06:18,095 INFO                neighbour_mesh:195 |#@# sys_platform, linux2
2014-06-30 22:06:18,095 INFO                neighbour_mesh:195 |#@# finishMesh_memory, 813.55859375
2014-06-30 22:06:18,095 INFO                neighbour_mesh:195 |#@# finishMesh_resident, 76.3359375
2014-06-30 22:06:18,095 INFO                neighbour_mesh:195 |#@# finishMesh_stacksize, 0.13671875
2014-06-30 22:06:18,095 CRITICAL            generic_domain:109 |Domain: Expose mesh attributes
2014-06-30 22:06:18,096 CRITICAL            generic_domain:144 |Domain: Expose quantity names and types
2014-06-30 22:06:18,096 CRITICAL            generic_domain:170 |Domain: Build Quantities
2014-06-30 22:06:18,096 CRITICAL            generic_domain:213 |Domain: Set up communication buffers 
2014-06-30 22:06:18,096 CRITICAL            generic_domain:228 |Domain: Set up triangle/node full flags 
2014-06-30 22:06:18,096 CRITICAL            generic_domain:281 |Domain: Set defaults
2014-06-30 22:06:18,097 CRITICAL            generic_domain:336 |Domain: Set work arrays
2014-06-30 22:06:18,097 CRITICAL            generic_domain:352 |Domain: Initialising quantity values
2014-06-30 22:06:18,097 CRITICAL            generic_domain:355 |Domain: Done
2014-06-30 22:06:18,196 CRITICAL            generic_domain:76  |Domain: Initialising
2014-06-30 22:06:18,196 CRITICAL              pmesh2domain:93  |Pmesh_to_Domain: Initialising
2014-06-30 22:06:18,197 CRITICAL              pmesh2domain:103 |Pmesh_to_Domain: Done
2014-06-30 22:06:18,197 CRITICAL              general_mesh:85  |General_mesh: Building basic mesh structure
2014-06-30 22:06:18,197 INFO                  general_mesh:92  |#@# numTriangles, 8
2014-06-30 22:06:18,197 CRITICAL              general_mesh:147 |General_mesh: Computing areas, normals, edgelengths, centroids and radii
2014-06-30 22:06:18,198 CRITICAL              general_mesh:372 |General Mesh: Building inverted triangle structure
2014-06-30 22:06:18,198 INFO                  general_mesh:375 |#@# aoi, '2.82842712475'
2014-06-30 22:06:18,199 CRITICAL            neighbour_mesh:90  |Mesh: Initialising
2014-06-30 22:06:18,199 CRITICAL            neighbour_mesh:160 |Mesh: Building neigbour structure
2014-06-30 22:06:18,199 CRITICAL            neighbour_mesh:164 |Mesh: Building surrogate neigbour structure
2014-06-30 22:06:18,199 CRITICAL            neighbour_mesh:168 |Mesh: Building boundary dictionary
2014-06-30 22:06:18,199 CRITICAL            neighbour_mesh:175 |Mesh: Building tagged elements dictionary
2014-06-30 22:06:18,199 CRITICAL            neighbour_mesh:193 |Mesh: Done
2014-06-30 22:06:18,200 INFO                neighbour_mesh:194 |#@# finishMesh, '2014-06-30 22:06:18'
2014-06-30 22:06:18,200 INFO                neighbour_mesh:195 |Resource usage: memory=813.6MB resident=76.3MB stacksize=0.1MB
2014-06-30 22:06:18,200 INFO                neighbour_mesh:195 |#@# sys_platform, linux2
2014-06-30 22:06:18,200 INFO                neighbour_mesh:195 |#@# finishMesh_memory, 813.55859375
2014-06-30 22:06:18,200 INFO                neighbour_mesh:195 |#@# finishMesh_resident, 76.34375
2014-06-30 22:06:18,201 INFO                neighbour_mesh:195 |#@# finishMesh_stacksize, 0.13671875
2014-06-30 22:06:18,201 CRITICAL            generic_domain:109 |Domain: Expose mesh attributes
2014-06-30 22:06:18,201 CRITICAL            generic_domain:144 |Domain: Expose quantity names and types
2014-06-30 22:06:18,201 CRITICAL            generic_domain:170 |Domain: Build Quantities
2014-06-30 22:06:18,201 CRITICAL            generic_domain:213 |Domain: Set up communication buffers 
2014-06-30 22:06:18,202 CRITICAL            generic_domain:228 |Domain: Set up triangle/node full flags 
